id,autahunor,guid,description,Text Cleaning,Sentiment
1,@user-ke9qx5kr8s,UgwDffw2E4FpzIJuiUl4AaABAg,"Ngomongnya enak sajaLahhh kalau orng bawah gimana gugatnya, baru ajukan laporan saja mungkin sudah di persulit,rakyat bisa apaaðŸ˜‚",Ngomongnya enak saja kalau orang bawah gimana gugatnya baru ajukan laporan saja mungkin sudah di persulit rakyat bisa apa,negatif
2,@godzalli44,UgzKJnKvHdjfKNUneSV4AaABAg,di MK nya ada ADIK IPAR WKWKWKWKðŸ˜‚ GUOBLOK,Di mk nya ada adik ipar ,negatif
3,@user-co4vp9hh4y,UgwXJbStahunfr-2DM8PTt4AaABAg,pendapat saya pak klau emg benar kata bapak. Seperti itu buat rakyat...rakyat tidak mau bapak hapus aja kenapa bapak pusing....bila perlu bapak suru rakyak cari penggati bapak....buat apa bapak pusing yg di bela gak mau...turun suru cari yg lain..aman kan,Pendapat saya pak kalau benar kata bapak seperti itu buat ,negatif
4,@suseswanto1423,UgzfQtahunzvWHbdEgskdh4AaABAg,persiden bayang bayang,Persiden bayang bayang,negatif
5,@jeki7651,Ugwx6eY4Fa7StRFfcdt4AaABAg,Sistem negara kita emng berkembang pinter gawe anak yang lupa sma tuhanya Karma ada 2 Rezeki terang terengan ituh urusan pejabat maling Ke 2 sinkron ada biasa tambah ada sempurna,Sistem negara kita emang berkembang pinter anak yang lupa sama tuhan karma ada 2 rezeki terang terang itu urusan pejabat maling ke 2 sinkron ada biasa tambah ada sempurna,negatif
6,@PlutodanMars,UgzQp0bXTP_2HFMSTct4AaABAg,Kenapa Bapak Gak ngedeluanin RUU Cipta kerja daripada infrastruktur?,Kenapa bapak gak ruu cipta kerja daripada infrastruktur,netral
7,@hendigrungz9391,UgweuNhwzI82hqGKN5Z4AaABAg,21 mei 98,21 mei 98,negatif
8,@boringman6491,UgxuHxOnPnw5_kNHBeF4AaABAg,System is error,System is error,netral
9,@AsmaWati-fn6rj,UgxbQ1sLAmgZXtPoWdB4AaABAg,Buta tuli mati hati nurani... Kata buzzer2 nya dia putra terbaik bangsa. Tp bangsa mana dulu...? Mohon pencerahannya deh,buta tuli mati hati nurani kata buzzer nya dia putra terbaik bangsa tapi bangsa mana dulu mohon pencerahannya deh,negatif
10,@maulanahafizlaode8595,UgyMBgc5T1LPZbndvHJ4AaABAg,Percuma Ke MK pasti Kalah karna MK penya Rezim ... Lebih baik kita Doa Bersama smoga para pendukung kedzoliman Di bonasakan oleh Allah yg maha Keras memaksa .,Percuma ke mk pasti kalah karna mk penya rezim lebih baik kita doa bersama smoga para pendukung kedzoliman di bonasakan oleh allah yg maha keras memaksa,negatif
11,@jokerbebas9223,Ugwj8Wqexf5Mzd-7L-N4AaABAg,Si idiot,Si idiot,negatif
12,@JSBach-pd4yg,Ugy1w64cUTfRVAfCdY94AaABAg,Turun!!!,Turun,negatif
13,@daudramdhan8141,UgzUxu0YX8vHadYqWw54AaABAg,Dan silahkan Terima resikonya dari Allah sbb kami hanya berlindung pada Allah...sene dina roko beda jg sene di Naraka paðŸ˜‡,Dan silahkan terima resikonya dari allah sbb kami hanya berlindung pada allahsene dina roko beda jg sene di naraka pa,negatif
14,@herusugiarto9374,UgwS_IBAZZy5gPSaOb94AaABAg,Muntah saya pak.,Muntah saya pak,negatif
15,@danangbayup4652,UgxcRS9IJGYqnd_ax9V4AaABAg,Dah ngasih makan kodok ajaaaa pak di istana,Dah ngasih makan kodok aja pak di istana,netral
16,@verolandaina7844,UgznksL9uJ5ElvXbP6N4AaABAg,pandai pandailah kita memfilter berita supaya kita termasuk kedalam golongan masyarakat yang cerdas,Pandai pandailah kita memfilter berita supaya kita termasuk kedalam golongan masyarakat yang cerdas,negatif
17,@nandariskandar1290,UgxJcCVdfRaTra7TzQt4AaABAg,MK NYA PUNYA SIAPA pakkkkkkk ??????????,Mk nya punya siapa pak,negatif
18,@SahabatSakha,Ugz7F0bPNLh9ZEsgi6F4AaABAg,"Kita hanya org kecil, g mungkin bisa ngajukan gugatan ke MK. Biaya mahal bos, boro2 ngajuin, makan aja susah bos, Ngomong aja enak, memang lidah tak bertulang tp sekali kena, sakit di hati.",Kita hanya org kecil tidak mungkin bisa ngajukan gugatan ke mk biaya mahal bos boro ngajuin makan aja susah bos ngomong aja enak memang lidah tak bertulang tp sekali kena sakit di hati,negatif
19,@bankxlyan3539,Ugx9_3eMFH8mgHYCUyR4AaABAg,"Kasian kalian rakyat indonesia,..bebek lbih brharga dripada klansungan hdup dan msadepan anak2mu...se parah ini kah musibah trjadi di negri yg ktanya makmur ini...omongkosong bila ktanya ini yg dnamakan merdeka..,",Kasian kalian rakyat indonesia bebek lebih berharga daripada kelangsungan hidup dan masa depan anak parah ini kah musibah terjadi di negeri yang  kita,negatif
20,@bellaandini1176,UgyXFSSHvgafrhCx7kB4AaABAg,saya percaya niat baik pemerintah dan juga saya berterimakasih kepada pemerintah karena sudah selalu memikirkan kesejahteraan kami semua,Saya percaya niat baik pemerintah dan juga saya berterimakasih kepada pemerintah karena sudah selalu memikirkan kesejahteraan kami semua,positif
21,@iyanbunyamin9029,UgwzVm8DO_MJwJ3LJlV4AaABAg,Yg membuat UU Pemerintah kalau tidak puas di suruh ke MK ..mana tanggung jawabnya,Yg membuat uu pemerintah kalau tidak puas di suruh ke mk mana tanggung jawabnya,positif
22,@yogayoga3213,Ugw4ymwxEHuf0OlER7N4AaABAg,*bapak sdh makan nasi bebek??*,Bapak sudah makan nasi bebek,negatif
23,@yuditobe8216,UgybtaG9HZijgL_973V4AaABAg,Hasil nya sama kaya pilpres 19,Hasil nya sama kaya pilpres 19,netral
24,@tndchanel2267,UgyaczRHw25yQKNCXiZ4AaABAg,cukkk. nemennn,cuk nemen,negatif
25,@akmalbirri2149,UgzE7ap-TtL7RnMRwtR4AaABAg,"Dunia ni Hanya Tempat Singgah Sementara, 1 Hari Akhirat=1000tahun dunia=rata2 Manusia hidup didunia 63tahun=0,63% belum 1 hari di akhirat ðŸ˜­ Ya Rabb "" Sebaik2nya Manusia adalah yang bermanfaat bagi orang banyak"" ""Sebaik-baik nya pemimpin adalah Kamu Mencintai Mereka dan Mereka pun Mencintai mu, Kamu Menghormati Mereka Dan Mereka Menghormati Kamu""",,netral
26,@enteryourname3092,UgybzboM8QpMc1rJBVN4AaABAg,"Saya suka BANTUAN TUNAI YG BAPAK BERIKAN,, TP SAYA JUGA SEDIH HUTANG INDONESIA YG MAKIN NYATA BANYAKNYA..",Saya suka bantuan tunai yg bapak berikan tp saya juga sedih hutang indonesia yg makin nyata banyaknya,netral
27,@refleksi4u,UgxIWt3McajpikbVG1p4AaABAg,"Prabowo aja bisa di Licikin MK, Apalgi rakyat kecil. Hello,,,, Slmat berenang di neraka.",Prabowo aja bisa di licikin mk apalagi rakyat kecil hello selamat berenang di neraka,negatif
28,@mizanmukhlasetuju793,UgylXu5oxpxSvALE4TJ4AaABAg,Saya gak percaya mk.. Tingkat kepercayaan saya pribadi ke pemerintah ini 0%,Saya gak percaya mk tingkat kepercayaan saya pribadi ke pemerintah ini 0,negatif
29,@inoedanvorce6207,UgxphsUpGobEU5dNqp54AaABAg,Woy turun sadar diri lah Indonesia kacaw semenjak bapak pimpin,Woy turun sadar diri lah indonesia kacaw semenjak bapak pimpin,negatif
30,@mmhproject8275,UgzITlcc0fTSCRBoO1l4AaABAg,Tolong lh pak jangan jadi pemimpin yang dzolim lhhh.!,Tolong lh pak jangan jadi pemimpin yang dzolim lhhh,netral
31,@penyu2176,UgyKH9ikmUQCbVXVP3R4AaABAg,"ðŸ˜‚ pemimpin kog begini .. Nanti omnibus law ini kalau udah jalan dan rakyatnya mengeluh padanya pasti BELIAU MENJAWAB "" MAKANYA JANGAN JADI BURUH , JADILAH PENGUSAHA"" . Sambil senyuumm heeeem ðŸ˜ðŸ˜ðŸ˜…",Pemimpin kog begini nanti omnibus law ini kalau udah jalan dan rakyatnya mengeluh padanya pasti beliau menjawab makanya jangan jadi buruh jadilah pengusaha,negatif
32,@rifkipuncak1550,UgyQTA28_A3EHVmHhFh4AaABAg,Maju,Maju,positif
33,@abibcemblik2974,Ugwx83fhH5BNEtf-SVB4AaABAg,"Mau ajukan gimana coba kalau kita orang"" kecil. Yang pasti serbah salah. Tertindas",Mau ajukan gimana coba kalau kita orang kecil yang pasti serbah salah tertindas,negatif
34,@amarmarufnahimunkar4132,Ugw907PwsD83t6LuvNZ4AaABAg,Yaumul Hisab.. Mukminin wal mukminah akan ajukan sebaik baik penghukum pengadil iyalah allah subhanallahu wa ta\'ala.,Yaumul hisab mukminin wal mukminah akan ajukan sebaik baik penghukum pengadil iyalah allah subhanallahu wa taala,netral
35,@ickaarcher2137,UgwINDKsXwlJbi4KhPN4AaABAg,Azab woy....... Azab..... Ingat.. Lu mati nanti,Azab woy azab ingat lu mati nanti,netral
36,@yanchel190,UgxBAdSJcXAeMAD3jM14AaABAg,Sekarang udh gak percaya sama pemerintah org semua 1 rezim sama loh ..tipu tipu rakyat aja anjim semua ..,Sekarang udh gak percaya sama pemerintah org semua 1 rezim sama loh tipu tipu rakyat aja anjim semua,negatif
37,@adilaww127,Ugx_dI2ipxWyDBpsMU94AaABAg,"ðŸ˜‚ðŸ¤£ðŸ¤£ðŸ¤£ngawurr. Petinggi Negara aja keok,apalagi cuman Rakyat kecil?paraaahhh",Ngawur petinggi negara aja keok apalagi cuman rakyat kecil parah,negatif
38,@baharjayajaya8573,UgyjxNEiW3gLt_RWosR4AaABAg,Tidak ada mk di negara kita buktinya dulu baggaimana,Tidak ada mk di negara kita buktinya dulu baggaimana,negatif
39,@baharjayajaya8573,UgyWNpxAB1YtZ67Vhrh4AaABAg,Mk nyapun tidak bisa di percaya,Mk nyapun tidak bisa di percaya,negatif
40,@baharjayajaya8573,Ugwr1QM1qFJun7EalvJ4AaABAg,Duuh mau kemana pak sudashlah percuma,Duh mau kemana pak sudahlah percuma,negatif
41,@Qn03y,UgyRO_VIxpQ3-BZnNkZ4AaABAg,wÃ©ww prÃ©tttt....,,netral
42,@barbershop8674,UgzxBydCJG3xApQHt9h4AaABAg,5 tahunun berllu dy bgtu hbt.... Untuk 5 tahunun yg brjln ini.... mulai lh trllht?????,5 tahun berlalu dia begitu hebat untuk 5 tahun yang berjalan ini mulai lah terlihat,negatif
43,@erniherawati2010,UgwYD9MgN8JzxhAKGrZ4AaABAg,Mentang mentang pemerintah kalian menindas rakyat kecil .ingat kedudukan kalian saat ini tidak akan didapatkan kalo gk ada rakyat kecill.,Mentang mentang pemerintah kalian menindas rakyat kecil ingat kedudukan kalian saat ini tidak akan didapatkan kalo gk ada rakyat kecill,negatif
44,@erniherawati2010,UgxTGv2tddRIt5YIxg94AaABAg,Ya ampun kan seharusnya bikin itu harus masuk di akal dong kita tau kalian ngelakuin ini biar ada jasa nya gitu hello Gw gk ngerti bngt bukanya pemerintah itu lebih tau segalanya tapi ini kok bodoh banget sih . Bikin undang undang nya tolol,Ya ampun kan seharusnya bikin itu harus masuk di akal dong kita tau kalian ngelakuin,negatif
45,@alanbaelach1431,UgwTFioxmKnzAmSgDu54AaABAg,Reformasi MK pasti kalah kaum buruh,Reformasi mk pasti kalah kaum buruh,negatif
46,@wanlibrawinardi1460,Ugz1svqSzTlc0Y1kAot4AaABAg,"Masih adakah keadilan dinegeri ini setelah begitu banyaknya dagelan yang terjdi di zaman mu?istiqfar banyak""...ingat akhirat...hidup akan mati disitu dimjnta pertanggungjawabn dari seorang pemimpin...",Masih adakah keadilan dinegeri ini setelah begitu banyaknya dagelan yang terjadi di zaman muistiqfar banyak ingat akhirat hidup akan mati disitu diminta ,positif
47,@mr.jisungcenel6975,UgwJljvR1OcrFz0h6F94AaABAg,Wes percuma pak terserah bapak indonesia milik pemerintah,cuma serah bapak indonesia milik pemerintah,positif
48,@candraaji5182,Ugw1YV8GMb22W-EoS-h4AaABAg,"Sadarlah pak,kasihan rakyat sudah menderta karena pandemi jgn ditambah lagi ada uu ciptaker",sadar pak kasih rakyat sudah derita karena pandemi jangan tambah lagi ada uu ,positif
